"","Sample.1","Sample.2","Sample.3","Sample.4","Sample.5","Sample.6","Sample.7","Sample.8","Sample.9","Sample.10","Sample.11","Sample.12","Sample.13","Sample.14","Sample.15","Sample.16","Sample.17","Sample.18","Sample.19","Sample.20","Sample.21","Sample.22","Sample.23","Sample.24","Sample.25","Sample.26","Sample.27","Sample.28","Sample.29","Sample.30","Sample.31","Sample.32","Sample.33","Sample.34","Sample.35","Sample.36","Sample.37","Sample.38","Sample.39","Sample.40"
"sp|P02649|APOE_HUMAN",13542483.12,19469142.01,13895201.33,8106330.696,10340986.27,22606423.39,7525394.438,25277813.17,13176001.97,21551504.73,6237508.328,6926544.332,6011324.757,5254988.43,7164394.634,9226898.545,7665035.907,6091744.128,6713590.226,6302526.312,7434972.104,9396427.345,7791106.545,8788421.414,7105799.447,6389111.297,9710016.686,9347612.937,7283602.924,9444001.544,6183308.534,4725518.127,4627260.823,6123756.929,5543116.292,6210904.708,5815978.409,6931777.347,3549600.277,4520082.576
"sp|P02652|APOA2_HUMAN",12648561.29,8314441.864,12920520.28,9051424.676,10650852.22,10664939.29,13402146.62,12369930.09,12492251.05,12641037.69,20375294.79,19169507.58,15508047.59,18819145,18229910.96,20942335.87,19887120.75,21743012.18,19507281.64,19260584.54,15481299.58,18136573.12,12243180.62,11994860.99,16961157.5,16220141.49,15751702.94,17302943.82,17139574.01,15808196.96,19165839.93,16901638.83,18974583.6,17727666.31,24643236.91,20007205.99,15754786.92,15723249.18,18107394.72,15712418.87
"sp|P02654|APOC1_HUMAN",1954149.609,4418656.835,723707.6034,3280787.629,2753986.57,4938440.648,1239795.597,6120450.014,3463201.301,3640675.874,4404994.831,3580416.068,4289697.103,4491688.332,5957941.202,6685007.957,4860504.596,4822596.927,5356148.978,1308900.919,5809079.351,6599382.47,6519111.434,6512573.094,5596600.522,1228017.186,6957265.139,6430165.842,1151657.689,4840841.261,3631578.396,5486598.248,1281939.462,5004803.763,5766954.884,6546769.307,1217475.384,6862744.534,3858678.378,5859975.511
"sp|P02655|APOC2_HUMAN",764632.3489,725430.5145,566582.5418,605310.7722,830236.5031,1049840.669,979035.2419,1941977.288,1238127.063,929549.5306,625263.7311,466532.6595,510974.1613,556327.2609,541096.5676,1054953.763,931456.1227,708529.7524,1462821.594,433094.3753,769186.1875,1035633.402,1096647.284,840900.0588,1114697.021,839229.4934,791922.7078,610054.8334,414990.6112,821880.8577,393929.3291,702985.6205,437136.843,649915.8423,949392.1599,919609.9799,418798.8658,1259596.428,397797.4934,685484.6801
"sp|P02656|APOC3_HUMAN",7036992.036,15422606.73,9428431.916,8553670.845,6015467.167,14449825.96,8459534.653,17540149.03,16590599.38,17737555.36,9831590.15,7525849.953,7005538.069,6332125.245,9214541.826,10870679.04,7140759.217,10254807.36,10130757.33,7136722.954,8157259.059,10534766.57,10497508.53,11046817.96,11941436.27,9002561.014,9197617.117,9075065.76,6658761.57,9112894.401,9242403.52,9052405.513,9863291.683,11309567.2,14233574.91,12835407.82,9242440.796,12365742.55,8142970.812,12419475.26
"sp|P02671|FIBA_HUMAN",126127631.3,166091997.9,146871283.7,161669373.9,109706063.6,134834232.8,123548068.5,195333506,147459131.8,141926235.9,96606483.19,78873235.05,109603331.9,78126514.04,97341935.61,96948316.5,104551988.4,98059328.35,93888678.4,86301406.2,160885199.6,127839943.6,119284667.2,126024727.7,113827582.4,136438140.2,130481871.4,133224142.2,124216545.7,137096342.9,132453204.6,135384888.2,168005618.9,99821935.67,106922752.8,123175491.7,108518820.8,136061761.2,100386197.1,130634072
"sp|P02675|FIBB_HUMAN",141258825.4,203191995.6,173255250,190158992,123770426.7,140530960,116707655.4,219097035.3,176780154.5,157109515,114373041.7,89006690.64,128771580,87249468.85,118212338.5,101918234,113854390.6,112685675.7,100457618.4,105756294.9,172013196.2,132436765.7,128960518.3,144535110,118647764.6,150433174.1,134636536.1,145512516.5,126580824.3,147542244.7,139229351.2,134615510.8,177319855.5,100366373.9,106338942.3,124402611,109079397.4,139498010,99279606.94,128494665.1
"sp|P02679|FIBG_HUMAN",109213136.4,142523969.3,120971291.5,146386169.3,94977256.96,106439371.4,109039978.4,167576516.8,129380048.2,128166696.1,84170458.89,65537701.2,91081246.09,70130272.32,83076035.34,81765014.54,88705164.36,81981515.85,77962508.2,73005256.74,139215445.5,110665703.3,102248340,106011947.2,95601447.67,114874386.4,109508416.7,110389993.4,108275341.7,113491547.4,108051490.3,110026898.8,135537289,79739120.62,83722747,104491568.3,94634623.59,114118077.4,80901951.14,105348968
"sp|P02743|SAMP_HUMAN",384562.5256,570577.1179,805720.6861,307021.2929,442599.5417,549876.6252,331892.1511,292538.8086,807037.8254,408180.9755,268270.8972,322135.3419,254883.2343,409711.7703,333921.7158,834653.031,336586.2228,348897.0426,291067.3709,539641.5921,902361.4146,654240.5183,610188.7357,543064.9067,1104209.711,794726.3798,622614.1855,754012.611,341063.1622,599542.2721,1080340.301,1309049.42,1656676.026,724251.7375,903953.5445,714146.6127,658353.8525,1480804.791,793680.6906,1682294.338
"sp|P02745|C1QA_HUMAN",47248.9707,23903.04236,59037.764,49115.34334,71044.32589,54061.82854,227900.2039,71725.78168,59190.29786,43376.76152,34785.56555,42624.7352,41929.91792,43857.6695,47368.6381,66336.22683,62289.18212,42472.40602,62682.46132,54371.80305,36830.39108,59527.45053,62843.34703,54861.70463,28272.93384,39645.93818,44969.1794,100402.4738,42469.614,74904.74181,69704.10034,60999.43524,84983.68671,74358.71154,55667.44888,59412.32494,60754.5419,58244.83254,38925.78145,204125.0458
"sp|P02746|C1QB_HUMAN",644673.9909,915045.1326,812281.3247,1025495.533,802522.0985,1437448.826,606881.4175,1153029.615,1030085.072,1014997.33,796005.7684,520145.2329,664443.5628,536982.363,705573.1532,736494.9361,767089.7864,744396.2,517342.8809,687705.0598,805638.4753,695122.2785,831025.5723,932880.9224,802893.9045,1028246.465,852949.9656,997285.7566,882976.6286,834023.9094,931802.4363,704929.406,1015595.207,903856.9896,835081.693,679795.9785,751891.3185,875793.4586,713199.6439,819773.4357
"sp|P02747|C1QC_HUMAN",1117860.885,1270335.806,1296955.495,1784917.888,1352299.073,2229226.272,1055311.349,1899297.12,1709693.354,1622504.887,1229805.023,834144.0405,989405.2365,1112265.241,1132724.512,1318818.956,1300146.01,1221033.11,965725.5426,1181449.42,1308570.548,1098192.159,1388231.405,1721880.825,1367056.832,1737663.931,1452060.042,1726498.527,1463287.404,1432201.435,1562604.155,1230461.852,1694616.616,1534154.721,1511042.464,1143742.366,1242152.783,1416906.057,1196370.758,1522724.106
"sp|P02748|CO9_HUMAN",925844.4536,1388417.061,1560451.598,1663634.262,562586.8094,673625.3275,1914220.092,1942641.943,692705.3461,1805099.023,1258722.691,2050221.634,1337198.223,1686373.505,1591791.814,2047284.471,2045998.845,1631858.396,2015945.536,1887297.842,3826907.4,2839090.556,2134944.487,2456811.142,3345400.269,3387194.249,2762717.43,3235092.243,2706924.428,3406253.566,2807294.113,3258361.244,4947342.378,2143023.624,1987305.425,2365538.029,2023328.078,2383074.39,2331901.957,3628131.934
"sp|P02749|APOH_HUMAN",7461492.245,9997266.71,10572245.38,10047133.87,4418341.793,5471812.522,6489617.145,4355021.399,11939295.55,10992864.17,13079400.31,7058332.944,12604422.67,6893215.264,10353216.96,7629793.165,9057447.07,10752734.29,10180411.92,8572277.269,8743361.897,9993482.519,10961248.65,12190537.05,11514757.96,12986270.78,5623572.789,10201845.85,9625228.075,10925056.54,6452409.118,8601063.698,11153896.65,9072189.818,10671035.79,8035090.811,8425925.743,12116892,10293237.15,10060578.78
"sp|P02750|A2GL_HUMAN",616562.5329,1069672.905,1453588.338,1222974.048,640199.4529,1202280.858,812945.6106,1026818.599,1081425.944,509081.7698,953853.6167,1173030.384,1333617.107,813062.0519,1584319.121,1275794.425,1267992.475,1133202.836,949574.2936,1600469.715,1553088.74,2728298.792,1837135.517,1910179.262,2929159.146,1962071.742,2099302.597,1952066.825,2573829.684,2914454.923,1192164.075,1426307.071,2946009.857,934201.8963,1523818.554,916583.2028,697556.3233,682039.0072,1087501.953,1765106.019
"sp|P02751|FINC_HUMAN",12660578.17,22651254.93,14151282.06,19277505.4,11493754.55,16618418.14,12786076.75,20555408.34,19809299.8,17504932.18,20560700.93,16400056.97,20666054.03,25703962.29,33021243.65,24485356.62,21693605.26,28711861.39,19865286.15,20253794.12,26844725.03,25217940.45,31160638.92,32817373.33,35127268.86,35183793.23,25792004.29,24016354.53,22534324.76,29098581.1,24991537.78,22311849.35,24131658.25,21938442.97,14495683.42,24110229.59,28428460.42,30513662.52,21700504.73,23618787.27
"sp|P02753|RET4_HUMAN",2150674.158,2259654.524,4136343.601,2058739.494,951664.4804,1698664.853,2518179.109,370899.0156,2583248.256,1226996.415,2054353.734,2026100.057,1321625.136,1364085.442,2065817.064,1699450.965,1882504.88,1780332.002,2367194.248,2603541.019,614412.4778,782521.3498,1231432.695,1372660.435,1965528.57,1469793.298,2740801.04,1707614.128,880395.0478,1438357.019,2279127.454,1930405.315,2616965.041,4035705.518,4368636.826,3804531.015,1833688.194,2080672.793,2518291.538,3972169.888
"sp|P02760|AMBP_HUMAN",3875519.433,5992732.773,5002099.828,4645072.949,3779011.385,5050449.736,4520283.634,5775830.884,5653282.716,5026385.137,4853483.907,3851108.826,4956177.811,4213730.583,4502299.659,5643605.368,6673882.154,5914819.477,4252712.441,4708900.049,4764193.248,4316412.889,4835709.407,5287814.899,5120101.692,5844338.62,4611228.331,5311724.82,6132955.523,6418916.967,5949388.384,4408500.959,5923204.656,4835547.216,7115256.262,4463581.359,4512396.545,4763665.17,4555110.146,8290595.643
"sp|P02763|A1AG1_HUMAN",16729172.96,28062602.3,48794298.69,33548237.29,24053737.4,32668400.01,40231837.88,42346720.39,36892900.71,18322381.46,37891125.69,44029897.36,41058463.12,19072153.85,25193183.2,42564191.57,48375614.34,25497647.41,24990684.02,72503768.46,60607740.47,67078405.98,71695448.44,76777505.92,55679126.05,63946315.33,97548080.12,75459368.73,47156381.21,86872298.89,35022873.3,53767950.22,59396825.33,46499376.85,24885528.58,34773197.49,23275040.77,37124306.86,36761956.36,43108461.78
"sp|P02765|FETUA_HUMAN",31060429.12,37973429.44,28754092.63,28215887.24,23206142.52,25785825.16,18854091.49,24020398.76,24339675.28,24254136.15,16034095.63,16602595.1,17583566.61,23016296.95,27279022.38,13717012.66,14085314.43,24346953.73,21337897.5,19525298.43,22988192.4,16371783.06,24912724.47,26010418.98,24107415.37,24421821.29,19108902.08,24465695.75,19042184.75,22815424.95,20822496.14,18530298.07,22336154.45,20671260.45,22603733.31,21233825.11,19071577.33,16448029.89,21048355.19,19772418.02
"sp|P02768|ALBU_HUMAN",3067776160,2261592654,2584903232,2615164743,3085699451,2659799022,3110168841,2401902876,2662617392,2786634197,2594384424,2946394748,2442285890,3065196752,2575375341,2788831455,2912328925,2819983333,3037875588,2736606907,2322491305,2322456220,2338978976,2172291526,2354926547,2221257096,2383579768,2181615577,2538699794,2355651173,2581098040,2917321724,2271167067,2794154366,2406151090,2758629496,3154322021,2795944641,3111598368,2704489756
"sp|P02771|FETA_HUMAN",12133419.28,6274191.971,3507622.252,849500.4976,1637874.232,1950062.658,2726639.291,3775345.524,3578895.395,6841043.121,284392.5844,735499.8369,484802.2399,991039.7454,374597.1869,670608.638,650964.7796,228364.6071,378161.4896,503255.6006,500782.2983,557422.9575,400106.815,235303.9281,426297.6311,649726.3006,391844.7056,328403.4855,651387.6603,342686.2786,433705.0262,391434.4447,565754.4952,436068.854,801522.7448,777679.748,458990.2565,290061.3535,544076.4445,427954.0282
"sp|P02774|VTDB_HUMAN",26725051.57,32920456.99,32603078.69,29688245.26,19462972.94,22625855.15,18577849.29,29818313.64,33658616.58,24817639.46,36426205.06,28944517.9,33932633.21,23820819.37,31815915.37,29767776.23,29745063.68,29882141.6,28003201.96,34435096.41,25986200.26,30213257.57,33945774.14,32914393.69,28792210.87,30977701.28,32245488.16,32116361.28,25158722.23,34061227.55,29306838.16,25558592.08,34220766.21,29652543.78,37844443.21,24563897.19,25182698.67,26543536.51,21424926.49,32453934.38
"sp|P02775|CXCL7_HUMAN",456822.0231,499143.8482,571729.4798,348950.2998,611661.7954,851454.3368,975387.6041,756442.4652,222589.5617,630636.9419,249429.6501,281523.6419,211750.823,544627.0416,186034.913,121084.0075,134658.3859,97683.97857,72600.57938,321184.3368,256579.0219,315800.0563,178284.8828,397483.3748,117542.3314,172275.647,212088.1558,185416.1746,193116.4736,192885.2943,501544.8207,203284.3496,711627.8005,756428.8058,614450.723,567994.1962,219337.25,375849.417,392004.873,250287.9524
"sp|P02787|TRFE_HUMAN",298096025,435443400.1,376121317.4,481858633,318600060.1,343231283.4,225904977.4,298215778.1,397220152.7,342124039.4,462009337.6,435223538.6,636130289.1,387635126.2,481953327.5,431704475.6,378137121.6,483876705.5,433296201.1,543504753.9,432738068.2,396388674.7,494938507.5,531457192.4,515953907.7,524349800.8,372856220.8,480509749.4,408116432.6,457776352.1,406604530.7,382139350.4,401482125.8,365567432.8,505518890.4,425271778.7,261000227.5,277207065.4,320464305.7,390934367.9
"sp|P02790|HEMO_HUMAN",22952525.5,42920251.35,37732220.36,22123145.38,29756127.54,30202356.8,26292403.95,28953762.93,31665121.91,32037436.62,84298114.06,79406273.99,76500200.08,57218734.56,72292377.23,88073692.83,61773928.93,72066709.53,74384542.48,80483459.69,78782900.22,86986358.97,85890571.21,93166777.33,76483792.87,77532415.01,93477736.09,95587157.4,70225535.09,89569769.8,75250195.52,60517247.72,81658448.84,68516068.95,81903376.02,68507680.04,52513972.12,70543853.38,62019550.7,85165412.88
"sp|P03952|KLKB1_HUMAN",633139.5305,1221332.564,729604.1157,953396.019,604108.9183,984846.2441,601883.8805,1151761.191,1121073.753,1054757.457,2302014.566,1227562.877,2107182.314,1518592.756,2175212.109,1899860.251,1301822.117,1581413.802,1107794.74,2108724.455,1951272.901,1842150.705,1672824.035,2027726.721,2056167.896,1401407.277,2126146.187,2391113.519,1727851.175,2042841.267,1662274.29,1633913.909,1327078.574,1358313.643,2067634.929,1728595.108,1287822.377,1672097.306,1295885.228,1716671.959
"sp|P04003|C4BPA_HUMAN",801214.2011,4317149.732,3373903.725,3028557.873,4887055.635,1898247.4,1820397.209,2312117.901,3432372.806,3090911.942,8266140.094,9746309.457,10940837.97,6242810.246,8424361.673,9263381.221,9463467.907,9004526.461,5535120.789,7196844.061,13841526.86,13234931.9,10780009.84,10589508.63,10452897.98,10169193.34,12319414.27,11487243.37,11728989.13,13054678.5,9035426.168,8436056.778,7202370.887,8349876.295,6248269.272,10272544.79,7434239.062,10015639.53,6474800.296,8771746.164
"sp|P04004|VTNC_HUMAN",7613675.061,10716429.68,8688752.614,8979718.105,6488087.841,8563911.734,5774542.848,7951051.636,12054105.6,8153230.315,14401958.89,9758648.709,12307154.36,9393020.361,13734133.73,9892750.099,9376767.24,11268532.32,8503957.316,10586079.15,12249917.23,12343289.1,13342149.17,14775917.24,14201671.51,12607361.96,12628775.68,14478843.06,10621798.59,14076998.24,11926415.55,8399763.009,18405416.11,7948159.389,16869259.26,11990812.24,8032585.874,9880073.494,9112459.533,11617353.59
"sp|P04114|APOB_HUMAN",23132392.23,33253323.13,25016230.46,24606631.83,21871446.45,42655980.85,18466450.18,49020681.05,26954209.66,27227287.27,50514847.1,28743658.17,39858213.1,42965750.02,53666646.57,47649310.31,49994897.06,36607257.57,28355017.11,32755442.69,32601201.48,34864188.31,45179545.24,48921465.9,43415886.18,32453889.56,41648270.51,37568761.02,24282425.35,36990399.36,29991699.6,25027231.3,31740012.59,40105930.16,32094611.44,24150239.46,24809394.06,46161245.97,20010399.9,34258071.06
"sp|P04196|HRG_HUMAN",807953.8166,915019.9332,1411030.069,2945646.992,1680492.854,2962238.327,2897423.769,2394508.126,2115191.675,3325878.19,5885689.398,4681788.166,5184011.21,6872974.998,7903375.626,8362191.61,5013771.702,9198103.362,6933279.27,6460575.661,12697213.64,9905668.964,8151402.358,9334335.645,10085495.5,9220567.021,12624358.49,8744473.087,11409420.38,7858559.433,9268789.531,10355300.99,5547214.189,7933349.49,4725704.177,3410619.699,8400181.137,7089343.308,7222528.15,8209913.175
"sp|P04207|KV308_HUMAN",1225411.591,2221980.744,1751620.384,1124133.329,932442.1937,1838016.319,401524.3958,1235710.761,1287459.341,1068937.078,1384278.646,848017.9887,866693.0897,576457.08,1000579.695,776719.7262,739877.9079,740641.3649,570058.7631,879530.317,1952348.958,3408742.513,734034.516,2124338.17,643634.3445,1024193.655,1046065.046,4003215.701,1088519.784,2502035.104,716939.4883,659446.145,3502074.548,2016756.227,1305081.645,1050216.495,913270.2802,1066632.045,968174.0569,654023.8739
"sp|P04208|LV106_HUMAN",1473070.904,1997188.263,1536540.012,1677267.876,2006365.461,1701546.791,1896715.759,2136915.979,2393783.745,1598772.829,984786.3058,1091636.879,682764.7168,1291909.619,1278326.021,1213707.097,1141944,444045.237,1066211.062,1902960.704,1349115.906,2165601.194,1220283.821,1436659.241,1675349.888,2634670.854,2073009.176,1265537.045,1591424.541,1861542.813,2420171.417,915499.3913,1735502.402,1706918.538,1909908.296,1913825.151,1643890.176,2109333.621,1850188.035,1373972.07
"sp|P04217|A1BG_HUMAN",6203309.12,9214803.156,9999798.175,10978607.82,8376766.862,6646520.7,8011943.08,8576768.246,9003470.524,7770518.137,17948447.57,11783758.48,16383698.47,14033055.9,16752061.17,16907990.29,13862538.52,16665580.45,11950750.8,18214976.9,16784644.79,20193854.68,11184436.2,11524004.87,22246569.26,18948467.75,17479489.62,21659660.82,19886887.07,22402579.47,11445445.53,14818275.61,19576697.54,11227355.16,21285370.74,13092928.63,9485223.425,12735680.1,11730024.36,16966974.02
"sp|P04220|MUCB_HUMAN",92702.84956,122250.1714,234741.8678,123507.4884,145342.3748,235609.3766,179834.7122,304549.4439,108141.3068,120943.8175,1511526.752,1054297.892,1608536.669,1029233.141,837634.9649,2687606.106,1111757.661,625901.2822,1333041.308,1572485.953,1444133.05,3976209.431,600389.7891,482747.4094,1365129.872,998952.5465,997243.3519,1441222.567,1341103.956,1455136.974,1520450.558,857607.1398,1849522.609,1488900.589,2195472.833,3878976.882,1745665.241,1464853.065,2153561.89,2250556.749
"sp|P04278|SHBG_HUMAN",43845.06408,63166.20253,56907.1466,68857.82469,25271.75039,47512.82776,105267.7272,83043.94604,72155.03129,49998.12122,386082.934,163084.0183,320490.0752,259722.9982,288539.0206,320005.8085,217894.1482,180508.4519,261718.3687,316558.7544,180275.4742,242394.5073,270181.8068,285817.5913,261424.1985,145660.665,237996.971,299686.0574,319703.983,210645.2104,86393.99078,83374.27753,296424.2862,55303.60575,548451.7389,61355.69966,21680.64042,37850.05656,55527.2795,178271.9649
"sp|P04430|KV122_HUMAN",273001.4821,255559.7321,591564.501,254535.8977,554857.804,566438.389,238540.3677,1113145.494,168766.9884,495469.1322,158286.3219,20978.29433,232960.3665,229739.2484,251899.7075,173158.1393,199168.7304,33727.08743,7615.520987,61785.8582,80415.15675,317592.1109,443931.0746,621857.8561,91170.3289,349173.8183,136038.2306,133589.3588,183302.3872,136527.4223,503292.6369,261931.2248,391296.1674,273002.7106,376419.4695,399027.6801,518403.1986,222661.2116,676062.8053,213479.4223
"sp|P04433|KV309_HUMAN",3042320.445,4347103.681,4221506.027,3308451.082,2611217.327,4061044.24,2144962.695,3199575.698,3517105.923,2992762.606,2851850.067,1528077.637,1906170.173,2561276.556,3198054.487,2052189.203,1682941.968,2375612.35,1671620.584,2673592.155,3514736.498,4360449.684,2051312.603,2291318.147,3298535.852,5205916.33,4062964.635,4547145.002,3721370.576,3407079.485,6995511.691,2832226.206,4465433.189,4718196.096,6650647.504,3186434.823,2645820.554,2773509.308,3169695.914,2249065.76
"sp|P04438|HV208_HUMAN",209249.958,2058523.39,1407310.824,806210.7259,467852.9061,546615.3149,589877.2269,647075.5122,713724.4386,846154.2655,397470.2271,333789.5092,8753.455965,291725.8833,503351.7014,7807.193853,180935.7209,5352.601411,295019.268,7654.884166,897244.9636,933772.3487,246144.4218,408437.5022,431977.281,542084.5104,289040.0387,189451.5893,9580.4707,1031558.149,635488.1989,1007533.607,12758.18773,6894.900875,640337.4287,802670.2481,644736.5493,898128.0023,277836.2633,118410.4762
"sp|P05090|APOD_HUMAN",2469611.109,2790434.297,2627433.902,2304757.288,2024706.668,3051221.121,2944536.993,5515406.839,2898492.477,3884394.929,3571125.53,3335792.578,2492043.723,3078283.442,3074237.077,3330929.949,1685773.601,2988145.272,1567927.932,2546113.751,2327546.831,4176115.299,3527182.41,4540530.952,2368388.615,3339067.771,2532629.846,1777933.987,2312471.127,2663152.429,5151460.938,3624637.557,4382606.68,4130938.861,5414637.484,4487765.587,5034268.15,4150229.513,4917999.322,2878424.873
"sp|P05155|IC1_HUMAN",9300935.502,12619315.74,9101058.225,13833120.55,6300384.826,12101763.43,10226324.08,15505495.3,16045113.5,11725916.66,20055798.44,18998811.54,25128227.92,12806227.84,16635925.76,21274783.44,18362272.02,17220157.93,18769340.46,17582395.76,21471699.15,24037945.86,22652903.38,21041665.7,18916784.07,16251392.79,22452504.65,22582036.41,20072573.62,24954007.61,16972118.71,14894359.52,15297924.66,10641178.94,11690489.7,11519247.84,14329445.9,12320588.7,12694087.71,14360463.71
"sp|P05156|CFAI_HUMAN",250690.5117,365855.5019,309280.7408,339688.8162,276656.1271,328236.1617,230090.1455,395642.9972,345551.296,260709.687,331197.8429,359273.0046,418807.6154,229212.4799,397081.7844,363544.9205,293916.4761,327048.7438,294319.7089,363766.4611,411979.5854,427619.7879,471066.1883,533238.4279,493579.2549,409798.122,432292.8114,564184.6874,412651.0288,545501.4934,401650.0424,354223.1393,402771.6852,338703.2598,284222.7959,353301.4674,285622.5178,435812.1321,324218.5991,403204.7059
"sp|P05452|TETN_HUMAN",234627.3016,355165.3944,214658.3675,299548.7387,168820.5614,365874.9275,209736.3444,222832.434,307833.566,394610.8311,374591.3383,313409.8763,337005.7559,282858.7523,370859.8011,295736.9682,335800.7146,452783.8908,367823.8475,299404.7799,427498.4426,391727.7078,370577.5033,443058.6275,389654.3804,421262.4853,391949.0954,568190.6249,446590.2089,551949.9712,345922.4574,313013.6176,270307.3682,310020.7022,273283.8951,251460.6238,323704.3939,274982.3599,301638.3393,250294.4789
"sp|P05543|THBG_HUMAN",1069421.995,1170076.196,853736.2203,1489236.993,1174592.3,865307.0857,547961.1865,1357580.987,923543.6644,861219.9913,1217005.317,849296.1259,1212962.432,798737.5687,954751.6124,1003257.504,790983.129,962752.889,972872.3956,1136248.262,1063051.86,950545.2525,1212749.636,1302120.091,918477.2055,1039757.211,1016804.156,1240743.275,977737.891,886093.1854,791454.9677,524688.1987,1370321.814,516886.8962,1568973.065,484162.8072,548629.7926,338647.7391,530942.4879,967658.5197
"sp|P05546|HEP2_HUMAN",1426929.599,2209479.874,1882510.829,2275134.639,1497213.895,2278830.202,2002278.494,2238831.408,2216659.9,1760059.298,5643740.935,5141343.819,4830666.304,4066862.122,4715803.939,5449112.538,5472234.9,3721174.588,4439124.754,5982517.241,4819714.341,5890776.94,6218776.498,6245296.285,4921420.699,4044986.812,5351169.877,6084510.49,3755535.463,4859372.551,4676839.27,3349231.207,4872901.012,4426366.677,3875168.305,4638267.086,2711594.953,4408148.809,2388608.446,4980052.499
"sp|P06309|KV205_HUMAN",5627087.865,7982210.804,8386860.708,5071617.794,4372110.929,6203316.425,5879877.451,6275378.552,7874539.699,6899991.306,4021014.256,2516058.659,1983543.923,3630114.151,4499323.237,2959155.6,3018592.802,3491738.668,2592738.475,4238031.152,5954623.025,6440356.461,3799637.989,4349894.177,5539914.756,8856840.957,7619778.09,6572845.021,6695227.157,5168907.301,8446815.885,5262892.137,6813629.688,8994423.574,14970895.54,7514850.757,6117465.555,8379953.112,6198897.329,7996062.663
"sp|P06311|KV311_HUMAN",39790.92853,35283.94511,71327.12641,4629.077546,135565.2391,57864.38181,70366.08805,52596.0092,6702.512569,76631.69326,19474.7211,13879.26979,4861.531192,9940.249342,8529.640001,2691.621335,11038.64878,40247.55223,14665.87653,16161.81596,63384.53116,28328.35401,29596.51732,18757.38733,31156.37083,9454.915464,57186.02787,28522.86517,49126.2323,12976.66852,45124.89791,47557.59188,70615.81208,136460.8101,93294.63432,179183.7421,76206.73597,64948.40666,67496.4516,67641.67953
"sp|P06314|KV404_HUMAN",2276621.334,2264015.421,3148761.983,1468966.284,1617315.818,1494757.637,2329940.324,1945062.546,2305973.497,1482070.597,1043521.517,1319540.567,672095.3237,1580197.88,1732343.3,1479334.87,948566.8514,1056415.559,1353403.609,1976703.663,1602499.715,2017652.425,1149171.375,1218524.587,1457445.606,2281216.722,1568191.543,1308209.747,1874896.329,1528371.401,2988930.268,2604301.619,2372208.668,3375769.96,3884394.213,3221549.9,2727673.057,2764523.177,2363115.873,2532864.808
"sp|P06319|LV605_HUMAN",111929.8066,87524.93013,108149.8887,112698.9987,222240.6061,160095.4557,125373.792,119494.0045,147724.7037,101769.8404,192614.0803,196780.7003,95489.09284,266865.6691,226347.9993,254284.6545,144304.7356,98702.75462,184350.7328,301349.8898,137794.0735,191326.4439,171964.8582,149522.8804,160011.3998,134632.4221,203317.1266,80745.8553,131806.693,171814.6894,165041.5326,8041.21706,144112.0864,108868.3651,173520.1417,161756.1737,47161.02786,74031.03901,71664.24351,232935.2532
