"","Sample.1","Sample.2","Sample.3","Sample.4","Sample.5","Sample.6","Sample.7","Sample.8","Sample.9","Sample.10","Sample.11","Sample.12","Sample.13","Sample.14","Sample.15","Sample.16","Sample.17","Sample.18","Sample.19","Sample.20","Sample.21","Sample.22","Sample.23","Sample.24","Sample.25","Sample.26","Sample.27","Sample.28","Sample.29","Sample.30","Sample.31","Sample.32","Sample.33","Sample.34","Sample.35","Sample.36","Sample.37","Sample.38","Sample.39","Sample.40"
"sp|P06331|HV209_HUMAN",634728.5299,1053238.98,1256047.737,962065.2313,869810.0767,855474.8444,885774.8191,1026271.196,1080759.449,656138.2234,1939391.718,1178432.243,1243865.272,1403466.046,1599374.826,1455227.025,966941.9207,1172406.454,1406230.447,2655285.537,738393.6148,2339789.874,1105456.671,1491713.313,1593668.858,1020163.776,1750376.224,1783358.534,1093149.345,1080247.273,1087287.902,699077.4832,1238036.577,1024987.707,1447679.988,787571.7182,1100194.246,872038.3934,893048.9479,723632.3117
"sp|P06396|GELS_HUMAN",4546828.78,6036973.99,4751429.055,5236115.192,3382789.016,5729376.768,3973602.296,5125354.867,4980700.653,6731172.844,5338516.228,4200146.018,5040066.833,3675006.393,5139999.852,4028702.004,4039974.095,4577054.182,3535302.862,4249271.041,4891691.385,4474896.055,5279029.689,5256087.284,4133640.839,5725562.984,4961877.586,5673648.622,5215757.184,5919406.189,6029594.516,4661142.795,4908095.818,5413563.114,5148861.896,3862621.277,6334808.627,4986290.515,5438018.166,4745704.789
"sp|P06727|APOA4_HUMAN",16304416.4,12134103.29,9310951.464,7241732.299,3554287.406,14055825.52,7669199.441,18454749.72,13452929.64,13290027.66,23696993.43,21480995.28,28557381.42,14907644.48,21706670.7,10928992.58,16833251.92,18484290.06,20354287.61,13001391.34,12195846.82,10279010.1,20762339.37,17636837.65,9063840.925,15453250.54,11465544.36,20130656.1,17005581.21,16179089.41,13459799.68,8997607.032,10307858.34,10106209.95,11974829.7,11337061.71,14165723.57,8870810.393,16247294.8,7090034.528
"sp|P06889|LV405_HUMAN",147327.0447,286028.937,196705.9513,102467.488,108895.7382,118590.6748,148966.9265,230412.9015,208927.4703,169227.7152,689215.2606,416327.1583,597483.3914,366691.7318,542806.2483,416563.6771,508437.3275,591923.3553,330489.3653,700178.2811,333038.3517,414556.2125,529292.9017,564756.5994,370339.1912,223466.723,386620.9988,274555.9697,390507.5161,286478.3542,227806.8068,132951.8743,267460.5726,102723.1868,240070.7849,52396.57429,66119.83173,149162.7367,152546.6849,26253.01949
"sp|P07225|PROS_HUMAN",166942.1785,217491.7418,268339.1128,211644.844,331728.9032,183682.0529,247654.3797,314432.682,274731.033,259034.2504,545198.8277,655231.2066,464132.7995,520771.4521,446773.9536,702978.3839,601200.9602,545745.6731,558190.174,625398.0249,664052.776,704119.7039,556755.0134,584615.5325,556312.9468,567301.5654,633285.5039,506427.0859,630972.7686,683797.4301,638585.7529,684415.9566,538348.4569,636220.1697,420083.2131,575557.4122,504629.932,614994.8277,505821.4505,668508.8439
"sp|P07357|CO8A_HUMAN",43206.27633,28400.3697,16057.89998,49849.30534,56057.20823,11072.64657,37985.2781,86137.18334,52833.88183,77390.87157,111574.8557,112049.51,101519.4804,116668.9398,109885.6241,73604.84324,101956.3017,79895.50049,108724.1102,117274.6184,100351.5471,122965.6888,127492.5753,125131.5874,108333.4767,103835.1731,68270.25858,98926.43357,30618.63625,99065.14535,67964.10727,115662.6385,113761.4217,69901.75265,55679.91338,91364.04445,84356.12622,90386.91025,86813.06395,112977.8238
"sp|P07358|CO8B_HUMAN",335096.8558,530920.7939,380717.0599,359229.8671,434811.483,430305.5005,581241.6529,530971.5797,347147.9127,369677.3894,713149.1005,764333.7782,584808.154,784748.2165,775619.4558,931451.9136,681407.7996,645822.4125,739434.5591,1025665.203,909333.7827,859681.2407,1003414.481,1127849.459,941442.5864,1111078.056,729366.4814,1034845.629,955967.9249,873193.258,578659.6387,1198142.417,745477.4764,863982.5942,694131.6991,870859.6577,859635.1844,924484.4348,862914.4044,1245227.408
"sp|P07360|CO8G_HUMAN",163702.7184,325452.0935,351980.7988,287473.104,220953.9418,202145.9792,302484.5108,481665.2017,430306.3535,292095.3969,660880.4724,541116.5456,708072.4014,596674.2741,802560.7949,471621.3312,482134.2809,412401.018,353707.9566,624916.2023,742843.4251,771722.4157,876375.0623,1027187.646,749869.5646,777381.0574,687747.808,1049247.238,614187.6078,686865.8983,581491.0771,736363.4561,919498.9213,658776.2811,640608.6598,563241.1261,546978.8182,568417.6899,502352.7038,827506.8265
"sp|P07951|TPM2_HUMAN",52970.1971,27830.91646,17054.1433,20658.67178,38926.47091,32593.14543,186755.1724,15039.30537,8268.994992,118641.1167,18287.97664,15830.26387,23948.80305,17404.55905,3646.587845,23321.52825,8965.293867,9132.661463,27472.8677,21211.39475,132555.1331,325163.8004,45870.41444,580196.2207,30775.61776,30137.71837,395857.7244,21564.91777,68924.68666,361100.3512,514911.6787,54648.03326,404546.7953,430486.7262,645118.8778,398063.4784,146005.7155,337811.6125,399141.3678,487418.8839
"sp|P07996|TSP1_HUMAN",42395.61722,50874.40541,31770.75856,15022.43214,65215.71903,86111.69495,35074.74437,61046.32161,5780.971547,65342.99983,17190.35129,12298.70178,4389.47344,27661.06292,7321.337279,11552.3534,11064.2907,14387.92582,11683.46899,17225.78719,10677.49792,20231.51536,11550.30147,23204.84971,7871.956202,22402.61213,30486.51968,14568.23048,11211.25167,19568.29313,30292.38646,23691.39583,43279.24429,10905.35145,32784.68407,24203.59726,17072.40053,4676.464144,17796.46237,12977.46391
"sp|P08185|CBG_HUMAN",918491.5997,582791.0306,1004053.64,787204.583,702006.8243,1074115.701,654447.9159,836549.4531,1024115.319,1054209.928,1186296.014,1412571.118,1556887.13,852812.9206,1093685.755,1089986.353,984644.2738,1348707.539,1038443.341,1326567.787,988703.9596,1193474.582,1322449.115,1334669.177,1245877.784,1122928.72,1217736.314,1161075.831,1308514.123,1240794.753,962365.3025,950573.7268,1886967.604,1136256.039,2073769.515,966944.4679,1019173.661,855355.4137,943943.4941,1065462.893
"sp|P08603|CFAH_HUMAN",11033998.51,15326519.98,10853589.89,13629556.12,10060038.31,13575680.03,9531381.587,14673531.41,13695085.37,14178765.03,16401753.52,13532156.45,17291165.24,11989884.33,14564141.78,15315061.88,15980802.35,15280186.85,14366648.33,12593327.31,19051868.14,18432600.93,20628415.39,21413361.49,16745229.27,18228166.63,18620665.79,19870282.76,16985025.6,19362520.8,15698658.8,14973684.02,19539620.63,14572869.79,13365129.19,17471880.49,10535953.64,15156654.27,11223713.26,18468092.92
"sp|P08697|A2AP_HUMAN",3128177.789,4085870.454,4421451.154,4238419.631,3106101.85,5148254.09,2670207.384,5112817.137,6271688.295,6028577.549,6428365.532,3124979.076,6567404.353,4962031.316,7297469.041,5089017.7,3682717.418,5017022.577,4023558.764,5757206.725,4394433.882,3715228.052,4288282.706,4713333.696,4572741.218,3974741.349,5416746.587,6506731.656,3858204.702,5710642.16,3755486.239,3259762.51,3850737.542,2871829.7,4441300.159,2487185.436,3190148.541,2469868.837,2619149.465,2987235.031
"sp|P09871|C1S_HUMAN",1016339.733,1207234.662,1168462.936,1308587.6,1303794.553,1823161.062,969530.8047,1682729.882,1597362.764,1360928.882,995978.4039,1042316.801,1102338.577,1359459.309,1529394.427,1774175.042,1473654.174,1048781.57,1631645.164,1242897.161,1487955.895,1579301.25,1903340.611,1729898.019,1887482.444,1661752.751,1439946.966,1700938.135,1706000.417,1605673.278,1236171.249,1238613.298,1831736.356,1463332.809,1113787.984,1193515.755,1180745.864,1220136.437,1179464.764,1560044.758
"sp|P0C0L4|CO4A_HUMAN",1791689.201,1402075.362,1433124.2,1574436.253,1194691.083,1588813.534,1974188.909,2078219.754,2447523.065,1294825.469,522973.2725,900012.1703,1365400.948,1055870.412,1253091.951,1770965.482,2590665.011,1007196.889,1147671.038,1210543.777,3534077.768,2561967.622,1773957.387,1677274.274,2699046.824,1523811.13,2249678.773,3694694.193,2284363.139,3766320.874,2087130.233,1938089.209,2612897.327,1053154.948,1586300.571,3368326.347,1979806.52,2699001.307,1774010.847,3287372.491
"sp|P0C0L5|CO4B_HUMAN",929295.3897,1249103.888,793109.0326,762691.136,465014.0066,982221.5472,547307.172,1016588.107,1151846.363,866595.2646,531767.9458,800776.836,1367975.217,294224.5849,591511.5791,962906.0455,1024098.247,816357.0713,392335.3622,625435.1487,1238953.205,908584.4963,1258487.259,1198892.519,1015227.71,1010318.252,661235.5966,1114561.469,852051.527,1484930.179,907010.5622,862838.0318,1016450.397,962878.8539,735874.61,1209371.451,756966.4041,1087168.518,595655.3419,717594.7695
"sp|P0CG06|LAC3_HUMAN",72350.95891,146500.7283,97509.54246,59752.15394,74775.37745,75789.64373,90175.17089,100928.9748,47877.54845,98004.40734,34829.85463,25762.77267,20283.00882,25213.44372,29922.51147,28253.26161,27926.44242,18317.21973,25658.0983,37626.96477,55090.22089,76398.66794,36348.51181,58832.84485,68866.69363,101176.4634,85474.49406,52860.6941,77708.66459,57896.14171,107040.625,53456.75085,118385.1968,60121.37806,81175.62119,91534.53027,71996.98207,92865.44164,72228.43727,70881.65534
"sp|P0DJI8|SAA1_HUMAN",669786.378,515866.4512,2275115.927,162554.0758,261554.5336,212658.5555,573907.3632,498692.48,176180.9338,76889.41198,88507.4451,79622.92379,24683.62041,87900.98546,128689.0679,176484.5893,114311.6615,153588.4732,102671.3778,117756.8518,669712.9881,116477.0269,39770.3377,58536.5695,356580.8429,126054.4384,57750.01283,81133.63685,120826.9426,488640.0294,112180.7167,452685.5223,6152129.413,131450.9897,359279.5057,292288.9834,126278.1944,84880.92671,545902.6512,153234.0937
"sp|P10643|CO7_HUMAN",858839.2074,1436986.615,916715.5167,1315217.692,851958.7938,1244705.793,577844.4443,1188261.072,1168081.476,986540.6244,1079268.75,732854.1449,1217631.472,812402.0171,1120743.256,974077.9369,580706.9183,793239.0959,730183.7115,764104.7606,919725.142,1144614.04,1033654.769,1257241.473,931738.9594,742552.6116,749247.5592,695814.283,863906.8829,1003072.324,832781.8204,478635.0919,678653.9095,508173.5262,631199.5155,467507.8092,497155.8581,642596.7774,597211.9581,501764.9597
"sp|P10909|CLUS_HUMAN",5946558.724,8663590.606,8307421.379,9696977.569,7381487.988,6918889.468,5767939.247,8366367.923,10772582.25,8595925.274,11508266.12,11525642.54,11464075.47,10366114.21,13073491.05,11991741.03,12242664.82,11496319.55,11796143.48,10321187.32,15575067.91,13718842.32,13152777.88,13290985.51,14353769.08,14489039.98,16103066.08,15565957.96,12629896.9,17031769.59,13761719.85,12246719.36,15413592.93,12119351.07,14384733.4,12083232.86,13165103.12,11923407.17,11160520.16,13806170.21
"sp|P13671|CO6_HUMAN",634059.9854,865240.5875,857948.7505,1000336.225,571314.2646,971070.939,734876.3544,1162402.609,1201566.609,571741.9835,1022331.624,975145.9399,1108397.266,1003346.252,1284196.703,1329479.034,1180265.011,1071947.842,1300232.938,987465.8035,1146933.523,1387386.305,1461215.343,1607908.964,1758474.748,1528146.903,1434640.086,1643684.928,1354246.688,1784669.767,886926.3744,906091.8417,1374330.33,833963.1884,1031617.722,879885.2645,649579.8303,769981.0049,646818.5094,937965.3337
"sp|P18136|KV313_HUMAN",9918397.787,13565946.29,15448928.64,10084325.53,9436123.695,14690892.77,11654939.75,12569947.36,14197932.71,11900260.32,9763516.655,8689540.408,7337342.405,11168860.5,11527271.4,7823662.57,6948793.009,7276026.236,7316691.095,10289501.68,10997221.37,17178016.5,7216975.206,8854665.801,10565128.16,16401198.26,14186170.28,12992679.46,13473993.91,12159580.16,14590260.02,9105014.794,15953541.95,15812114.71,24393427.33,15102174.61,13216851.43,12860476.72,10676443.48,11010808.93
"sp|P18428|LBP_HUMAN",1078322.198,826519.5614,1119473.24,710368.9289,639553.7053,823665.3494,887775.6665,1032197.861,814771.9791,467346.7717,334612.383,294357.6069,472097.6543,215550.2035,453594.8575,302515.2405,278032.9592,270283.7983,182376.8083,413098.4908,434959.7514,364024.4764,376838.0508,425072.0458,840002.2252,494811.7363,248112.9199,479886.9728,418818.5895,451805.5306,347558.6094,402258.8728,1696316.959,368648.4006,624851.2209,410276.1479,353772.5364,341834.1525,431192.8928,568495.4882
"sp|P19652|A1AG2_HUMAN",2811245.503,4408576.821,3765087.544,5565304.334,3481723.542,3865613.359,4436282.727,5410924.658,2268994.465,3503906.081,9222769.86,12509414.19,8881521.704,6641539.247,8293790.606,10638165.37,10803403.57,7939876.36,8959627.754,13481232.33,10695808.52,12221225.62,6077914.934,5754948.052,10262345.63,6996813.373,11359868.25,8360615.703,10142251.03,14002574.38,9078650.192,10513437.64,9765200.981,10005216.92,6296621.136,9145735.719,5119773.868,7548144.173,9106159.121,8648521.348
"sp|P19823|ITIH2_HUMAN",12183869.11,18422773.1,12479576.23,16076355.72,12388853.7,15180920.23,8887143.01,16083650.31,16595087.84,16901140.1,21660301.51,10770373.85,17321048.07,16998228.94,20876565.44,15772395.72,13392398.68,18092079.06,14893681.08,15991796.8,17648515.38,17166939.78,19342987.96,20408450.79,18830031.38,20414728.05,14798563.51,18383730.88,17318988.4,19647026.96,16321540.37,14277935.05,19093778.12,13920719.11,15434049.53,15158316.83,14907877.82,14797490.24,13688528.26,15601351.31
"sp|P19827|ITIH1_HUMAN",7995364.94,9202307.962,10419016.57,9785888.807,9189117.033,6024597.654,7042771.827,10662031.99,10201641.62,9309766.917,13434711.38,7275676.892,13456139.63,10003713.8,11449998.01,12513463.65,10211771,12672573.34,11089233.78,10522171.32,11824652.49,12934106.74,11980884.38,11649480.94,11591084.24,12388466.66,8823660.896,12994609.71,12278240.06,13914165.43,10868741.95,15392512.28,14091041.67,10787781.73,12447657.55,14521053.08,10057008.44,13654239.74,10257303.89,12928316.15
"sp|P22792|CPN2_HUMAN",424414.7382,760087.9177,931491.7738,743971.5484,506823.2401,850733.4027,550538.3873,1017528.765,947128.5229,732405.2567,1064829.807,721460.0598,1234078.845,683787.3773,914119.9281,1051603.882,839805.3526,895798.9464,761929.2753,895843.1828,1253798.819,1154331.747,1431709.843,1592317.163,1166510.876,1193168.822,1049253.77,1284250.868,1117454.438,1320272.588,907026.1232,629699.0963,804642.7206,687879.5183,889006.3,720728.3702,670656.2353,813927.0608,635478.0381,875421.1906
"sp|P23142|FBLN1_HUMAN",338848.844,1158253.556,227153.9661,339514.4079,218151.5899,670457.4913,166853.7668,292268.2257,328317.222,1052122.646,742115.3525,106396.1711,163315.1645,153562.0647,857960.764,175060.5107,234882.581,268949.2071,183826.576,142263.8747,200704.8733,128130.2273,864626.1023,841254.143,226215.2053,882680.0059,206005.1547,919678.0434,417322.3751,244165.8137,150579.8117,170908.5013,912073.3223,164566.4388,173294.2193,203694.0597,177877.2051,202895.482,189249.2623,204488.2434
"sp|P25311|ZA2G_HUMAN",3942287.207,5720891.587,5550097.738,5289269.128,2948245.993,6260703.232,5438668.312,6563022.152,8771899.195,6832565.02,6199912.044,5898077.986,7108881.452,4646567.52,6403354.028,5685958.026,5450414.433,5162487.559,5406593.712,4988499.119,5600728.564,5686303.025,6700652.521,7010045.166,5337793.064,7834095.336,7415554.828,6934471.702,6041118.46,8437121.116,7303909.369,5549958.606,7336731.538,6769696.026,7138449.393,4639798.291,7088414.641,6166230.92,7440643.533,6700232.625
"sp|P27169|PON1_HUMAN",2301396.464,1173938.703,2189255.982,1976856.24,2468470.701,2741536.428,1817128.88,1178496.785,2167873.968,1760542.365,5228490.83,3723210.877,5035391.369,4915414.73,6050221.722,5742675.347,3874151.159,5352460.945,5056527.788,2832315.294,4600443.953,6644365.99,4951714.107,5028485.452,4447675.489,4947727.875,5989689.729,7301232.616,4646837.479,3898191.478,4677790.801,2998614.859,4942291.136,5092833.654,8105598.987,4912644.021,4473109.679,4950325.848,3251575.228,5543901.099
"sp|P29622|KAIN_HUMAN",151080.1973,253686.0023,72101.70218,243348.2648,61759.85214,92732.31565,95262.45567,65146.39041,113165.4232,86915.25436,119542.7868,70772.1489,113635.9632,323424.6,173378.7085,181684.0848,65743.87557,86319.71435,120243.7756,84957.36442,116987.9617,52450.79646,142309.246,247548.2465,96906.06029,145343.6086,85007.26641,61128.91073,87642.0244,97231.63163,162110.4084,97106.60766,127233.2986,105558.0263,192463.0926,128098.2055,83086.22345,68381.10587,102475.0472,102477.1233
"sp|P33151|CADH5_HUMAN",65478.87445,94535.75381,70758.50447,56559.63844,94303.0721,75164.582,40022.52108,68344.05454,76314.42563,79666.8232,40330.53154,35886.33063,60150.40783,31285.20902,62762.72372,45429.72403,34081.32653,59848.76828,42510.55373,51602.61221,62024.83381,42898.91278,46101.10955,58773.71545,77696.39461,63845.20828,30805.58864,67472.32543,49102.79049,55209.52423,34587.03409,17350.36679,25781.53551,23661.5722,30195.48759,33350.08114,40625.46371,34163.89585,49815.09115,19757.51793
"sp|P35858|ALS_HUMAN",418485.9692,556555.5499,317348.0225,463626.3909,359268.352,402697.7062,204935.9296,247296.5765,456328.5152,190784.1663,597932.1495,875364.4982,466501.4151,631673.0163,762786.1838,645857.4314,687551.0354,844790.6465,586048.2994,842368.5205,703488.4173,979467.6806,467421.7502,474739.2788,683552.4242,1590924.204,839947.2199,495074.1322,853728.9028,933333.3118,1234149.377,944030.3077,1071523.833,812653.6381,1250577.766,999015.8683,734222.7407,624611.5827,844543.0863,943595.9329
"sp|P36955|PEDF_HUMAN",698647.5794,1404423.224,1260877.584,1572838.366,576229.81,1142411.717,1143075.863,1153168.182,1214228.656,1108970.434,1569432.732,550150.5849,533235.2074,504672.7669,1520082.923,1053815.599,485956.1742,1029848.144,1401661.972,655394.4246,1292164.048,1165846.614,1311558.032,885592.2827,1599791.369,1738247.216,1107474.516,1724333.608,1176520.868,1364238.223,1805612.344,1285195.252,1355055.551,1380625.896,1726833.721,1342223.591,1116440.515,1209396.599,1390004.653,1417332.804
"sp|P43652|AFAM_HUMAN",4205937.742,5125607.675,4419904.361,3520836.012,3651534.287,4170046.532,2462651.095,3381799.672,3971210.389,4393225.691,4491835.223,2813805.518,3133295.206,3578106.548,4272870.856,3388613.983,2994069.294,3617671.039,4026366.181,3399634.344,3384879.675,4298577.594,4363468.357,4682204.523,3929268.48,4359180.27,3912447.047,4796071.659,3881392.803,3950085.827,6292412.78,3215745.426,4275839.613,3431823.555,5464860.82,4663488.636,3098490.698,4093676.711,2985421.84,3484276.99
"sp|P51884|LUM_HUMAN",1646525.666,1031299.849,1232704.735,732341.1993,824288.3372,1731671.506,754696.7033,1622883.334,1457344.764,1686596.726,1539286.419,1458996.359,1455819.236,1759696.021,2080644.274,1605610.175,1223878.24,1777098.499,1243942.138,1528697.549,1502019.945,1382666.816,1397855.942,1285617.244,1680564.638,1753433.91,1124797.587,1577238.844,1455549.86,1390655.546,1182535.441,553611.6255,278457.957,865641.9345,946733.6725,625522.0062,726130.9585,751942.9915,649535.0045,710115.0709
"sp|P60709|ACTB_HUMAN",953372.8559,589197.4239,459331.968,725180.1369,1196014.751,654033.6594,929603.5721,955107.9924,589886.6276,1334252.111,1219539.621,347396.3423,343154.3748,562883.6929,811786.9618,533498.1904,350104.7726,475894.0897,283471.8036,1032107.39,989113.1292,1435256.998,1110309.472,2860979.538,1041406.993,739526.6684,2049813.842,1575755.857,982157.355,2188112.111,2888652.303,1050926.51,3864590.827,3489271.224,3063376.297,3106104.86,1257744.33,2601285.844,2148107.184,1507853.925
"sp|P68871|HBB_HUMAN",4681711.161,4659150.8,4462078.647,3900491.258,7826633.041,7971718.219,3554968.187,15325490.55,2541194.463,2669323.235,1959265.384,6119341.342,9442079.591,9805315.669,1330261.061,18372938.2,1281112.905,1146705.379,1027965.201,8388747.045,10846519.39,4805224.568,2429189.373,1904234.649,3761623.648,39396921.63,2016917.055,4679005.304,2415724.533,10149043.97,1491529.03,697916.8609,2289105.528,1846817.563,587909.1731,1086428.129,799087.83,547526.4112,2237648.067,459578.1775
"sp|P69891|HBG1_HUMAN",2709143.136,1323243.851,1407647.18,1975307.457,1932494.697,3124161.177,927527.1547,8722754.587,1359611.573,966303.3444,31064.20724,20631.63933,4296.690404,8191.128555,10409.71295,264895.6772,16653.11685,34821.98616,8743.48521,17900.24422,51491.81752,31266.08065,33399.39538,33806.5187,5544.175045,20773.48576,130514.9394,22680.8564,40597.95659,14175.79548,8411.882841,15515.20533,26932.61737,26626.959,99507.42948,7768.408787,50409.54978,12034.01466,25964.21822,10707.85021
"sp|P69892|HBG2_HUMAN",6575683.895,4213206.404,3711909.779,4675100.508,4583828.34,7110043.69,2514335.407,20730088.17,3328611.566,2779979.613,27409.97983,10166.17834,19372.48456,33549.24708,25118.7174,121555.3021,13780.10745,42204.81876,19629.88191,14621.27826,15662.6753,11349.33082,11726.22014,23184.02405,14845.43772,27814.5977,20506.55507,29484.74746,18730.70269,24235.5036,18237.23809,8137.890354,44750.08008,8352.213767,19048.93761,14106.51019,24499.08613,13042.80891,13528.09433,7995.147648
"sp|P69905|HBA_HUMAN",21123847.29,12487099.99,13251232.97,16224108.05,18400171.65,24908503.5,9855791.995,65911687.28,10780772.13,9008795.015,1466974.44,4347922.142,6270179.034,6913323.182,1070140.933,13555538.06,1213711.903,972674.964,731987.1566,5501466.041,7121008.463,3122999.311,1845474.211,1275888.971,2630100.457,25652433.25,1365670.068,3070866.501,1708764.611,6674450.128,979414.3433,644545.5696,1615306.822,1454785.012,805312.6631,833944.8139,604951.0681,549381.3308,1520723.504,398854.5835
"sp|P80748|LV302_HUMAN",4162102.04,3965913.906,5736780.823,2869267.33,6689343.653,3759078.822,4797055.319,3329767.46,1760599.678,4448788.05,669993.6848,1180133.249,785189.1819,1026993.762,1086473.182,1011599.376,1340617.988,971431.265,1175103.864,1374850.144,2087888.892,2349007.165,1339206.722,1720097.777,2123381.79,3658537.63,3457948.492,1559094.254,2782407.291,2215202.255,4943637.274,2721988.309,4712970.753,4311411.358,3861297.412,4588387.898,3267885.185,4380053.466,4412119.439,3970991.059
"sp|Q03591|FHR1_HUMAN",379559.5201,542153.9735,1042622.829,700108.7064,462044.1726,848591.7965,536542.4163,499236.5528,548738.8605,647507.3741,356071.5473,383075.4848,365418.013,567736.9358,625376.3933,598111.3392,98806.86978,537134.0689,567706.5311,834698.1889,770636.285,721678.221,309993.3139,377641.0256,781749.6636,790550.5236,901502.4154,779380.1379,805323.4174,535171.3411,817142.6052,762075.0379,727771.3885,914261.3926,959456.6491,437674.4303,531415.7368,698976.7249,598455.8826,597509.4824
"sp|Q06033|ITIH3_HUMAN",1014736.574,1366931.498,1470849.985,941002.2591,989937.1531,1915760.659,1459321.025,2868317.861,1186490.538,1760556.224,1184174.245,505514.5254,1207828.361,779710.7892,777034.4333,1055039.706,1247135.251,692791.331,535874.8334,779594.2048,1276998.065,1238573.843,1072776.391,991283.1714,883314.6329,882069.5649,852385.3357,1380978.679,779851.1135,1497446.129,441802.2315,541256.4661,947902.1225,432870.2439,947460.0241,323587.6688,466426.7215,539671.6602,355775.706,692400.9805
"sp|Q13790|APOF_HUMAN",15169.68081,76405.61533,78825.65385,65750.2492,39716.62397,135846.9176,73797.19736,150257.2019,77037.00119,82657.88686,231160.9467,183776.9865,323586.4376,173484.9075,285246.512,271205.2187,226956.9056,336585.413,216775.7413,198670.2401,275544.1189,213837.0807,242122.628,275391.1702,286502.8636,367037.0497,244261.4571,208313.6454,336233.5708,334089.0026,360224.7999,355096.6282,533998.5143,276176.1935,311440.7227,274153.9307,284453.6202,290780.4608,238651.6058,357778.713
"sp|Q14624|ITIH4_HUMAN",9913252.792,13084715.72,14749146.98,14807077.32,12503085.85,10675609.48,11701665,14487804.99,15581174.82,10714964.21,17944342.66,14250446.36,18963316.5,13289766.35,15467282.24,18823826.06,17455623.82,15706022.52,15485043.92,18266336.2,21442621.93,25777273.43,23612269.13,23126892.96,19286867.2,17508269.9,22518841.84,22017794.51,20415152.5,26314138.98,16659736.61,16410980.08,24232118.6,18380729.15,24368117.3,17534400.97,14232523.56,14705977.46,13331148.66,20989881.05
"sp|Q96IY4|CBPB2_HUMAN",50203.32967,133902.7057,111023.352,100021.6844,55310.7814,110842.6165,83893.06062,89656.95873,110920.9839,107276.887,186239.916,153769.9827,209198.1013,155783.1402,257945.1247,171427.4052,182529.0936,160853.9151,152353.9735,165958.9976,231203.1363,225150.6859,213641.1049,264883.7792,204543.9677,227926.9714,251559.7725,284401.063,195395.4385,299592.8597,221282.1541,180774.6519,209653.5331,161862.6817,210295.1075,129688.1226,145860.802,159616.2307,146000.3271,182960.2869
"sp|Q96PD5|PGRP2_HUMAN",770674.2958,1923269.504,1490375.25,2158746.313,1418526.069,1142024.446,914122.3402,1169699.136,1384396.038,1512705.647,3950553.216,2301391.013,2709815.891,2547562.278,3304146.303,2506155.655,1974848.894,2914744.372,2995941.288,2831575.21,2739219.567,2358520.941,3225201.421,3568755.416,2801834.977,2839718.785,2507430.188,3456902.707,2780305.304,2758038.18,2060880.419,1650879.826,1678099.215,1819732.194,982491.5535,1641282.3,1694517.231,1761664.367,1419169.808,1564979.717
"sp|Q9UIH9|KLF15_HUMAN",4481.552371,6994.151012,279781.9002,5139.905723,291657.6634,233311.1588,503701.5824,1944.995502,9485.045432,268079.9059,3853.094655,268196.1632,3742.527614,3714.77867,9451.562369,5486.26514,473270.3577,9744.574652,2596.366164,2707.026689,4336.696784,463663.7057,4153.2255,739040.2405,5046.996781,5040.240484,7856.786072,8907.793717,8687.317887,366162.7144,398263.6807,4246.191915,10415.61278,3693.008004,11065.78865,5568.375208,268336.3221,5236.720751,195847.1547,4549.128719
"sp|Q9Y490|TLN1_HUMAN",2099.256276,1508.45757,2260.681994,4026.536161,3962.314363,2033.644025,7012.031391,3356.356422,1291.723689,4344.400151,5630.746436,3247.94179,1307.979033,4541.465824,937.2682097,1206.605194,2554.568376,1538.644916,3327.147177,5107.758744,3626.371867,4412.143051,4107.807071,12157.32296,3775.504873,5504.0521,9371.214835,2137.13302,3698.565033,10554.63065,16652.97067,5521.622194,20248.40788,19415.87542,19660.3569,20153.45722,6361.365782,12405.05155,14921.67858,9211.926619
